Protein Group Accessions	Protein Descriptions	scenario	label	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
O00468	Agrin OS=Homo sapiens GN=AGRN PE=1 SV=5 - [AGRIN_HUMAN]	A	TRUE	0	0	0	0.616239316239316	0	1	0.695555555555556	0.492393162393162	0.314957264957265	0.088974358974359	0.0382222222222222	0.016982905982906	0.00923931623931624	0.026025641025641	0.00380683760683761	0.0134273504273504	0.0203846153846154	0.00363589743589744	0.000804358974358974	0.00255897435897436	0.00533760683760684	0.0168205128205128	0.114444444444444
O00483	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 OS=Homo sapiens GN=NDUFA4 PE=1 SV=1 - [NDUA4_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0.473850695908899	0.558835934204977	0	0	0	0	0	0	0	0.24103753690426	0	0.115457612821594	0	0.174124841838887	0.384436946436103	1
O15145	Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3 - [ARPC3_HUMAN]	A	TRUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O15457	MutS protein homolog 4 OS=Homo sapiens GN=MSH4 PE=1 SV=2 - [MSH4_HUMAN]	A	TRUE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43291	Kunitz-type protease inhibitor 2 OS=Homo sapiens GN=SPINT2 PE=1 SV=2 - [SPIT2_HUMAN]	A	TRUE	0	0	0	1	0	0.814430762583711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43715	TP53-regulated inhibitor of apoptosis 1 OS=Homo sapiens GN=TRIAP1 PE=1 SV=1 - [TRIA1_HUMAN]	A	TRUE	0	0	0	0	1	0.470128988458927	0	0.281907671418873	0.327393075356416	0	0	0	0	0	0	0	0	0	0	0	0	0.0915648336727767	0.862186014935506
O43819	Protein SCO2 homolog, mitochondrial OS=Homo sapiens GN=SCO2 PE=1 SV=3 - [SCO2_HUMAN]	A	TRUE	0	0	0	0.600320170757738	1	0.882604055496265	0	0.56136606189968	0.324759871931697	0.216382070437567	0.221558164354322	0	0	0.257737459978655	0	0.131750266808965	0.24162219850587	0.109124866595518	0.16718249733191	0.242849519743863	0.149092849519744	0.301440768409819	0.229669156883671
O60292	Signal-induced proliferation-associated 1-like protein 3 OS=Homo sapiens GN=SIPA1L3 PE=1 SV=3 - [SI1L3_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.846876365224989	0	0	0.619484491044124	0.885102664919179	1	0.644167758846658	0	0
O60318	80 kDa MCM3-associated protein OS=Homo sapiens GN=MCM3AP PE=1 SV=2 - [MCM3A_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.669454545454545	0.716727272727273	0.801090909090909	0.493818181818182	0	1	0.585818181818182	0.869454545454546	0
O75394	39S ribosomal protein L33, mitochondrial OS=Homo sapiens GN=MRPL33 PE=1 SV=1 - [RM33_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	1	0.893230300391815	0.529494993469743	0	0	0	0	0	0	0	0	0	0	0
O75947	ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3 - [ATP5H_HUMAN]	A	TRUE	0	0	0	0.387062652563059	0.705207485760781	1	0.619853539462978	0.712611879576892	0.422620016273393	0.374125305126119	0.415296989422295	0.284214808787632	0.138242473555736	0.279414157851912	0.141008950366151	0.140683482506103	0.173230268510985	0.0926769731489015	0.166558177379984	0.194711147274207	0.109357200976404	0.217982099267697	0.177624084621644
O75962	Triple functional domain protein OS=Homo sapiens GN=TRIO PE=1 SV=2 - [TRIO_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	1	0.268843537414966	0.735102040816327	0	0	0.288027210884354	0	0	0	0	0	0	0	0
O94973	AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2 - [AP2A2_HUMAN]	A	TRUE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95755	Ras-related protein Rab-36 OS=Homo sapiens GN=RAB36 PE=2 SV=2 - [RAB36_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0.77739281074058	0	1	0	0	0	0	0	0	0	0	0
O95865	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Homo sapiens GN=DDAH2 PE=1 SV=1 - [DDAH2_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0680351906158358	0	0	1
P00403	Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1 - [COX2_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0.1478093403948	0	0.218464130958113	0.311025517573423	0.310544053923929	0.174169475204622	0.526360134809822	0.354116514203178	0.477010110736639	0.661651420317766	0.356403466538276	0.145281656234954	0.514443909484834	0.503129513721714	0.721473278767453	1
P07477	Trypsin-1 OS=Homo sapiens GN=PRSS1 PE=1 SV=1 - [TRY1_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.608765366114377	0.814003206841261	1	0	0
P07686	Beta-hexosaminidase subunit beta OS=Homo sapiens GN=HEXB PE=1 SV=3 - [HEXB_HUMAN]	A	TRUE	0	0.109684684684685	0	0	1	0.073704954954955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07858	Cathepsin B OS=Homo sapiens GN=CTSB PE=1 SV=3 - [CATB_HUMAN]	A	TRUE	0	0.660315985130112	0	0	0	1	0	0	0.478996282527881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08236	Beta-glucuronidase OS=Homo sapiens GN=GUSB PE=1 SV=2 - [BGLR_HUMAN]	A	TRUE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P09001	39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1 - [RM03_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	1	0.960339943342776	0.62926468776943	0.146692942480601	0.490331321591329	0.132405468653775	0.181426284025126	0.17736174405715	0.0693681487867964	0.0344870057888903	0	0.0543170341175022	0	0
P09086	POU domain, class 2, transcription factor 2 OS=Homo sapiens GN=POU2F2 PE=1 SV=3 - [PO2F2_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	1	0.908212560386474	0.416062801932367	0	0	0	0	0	0	0	0	0	0	0
P09669	Cytochrome c oxidase subunit 6C OS=Homo sapiens GN=COX6C PE=1 SV=2 - [COX6C_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0.277047413793103	0.223168103448276	0.232058189655172	0.0681573275862069	0.403448275862069	0.509859913793104	0.288523706896552	0.542025862068966	0.351400862068966	0.611530172413793	0.674030172413793	0.806034482758621	1	0
P10606	Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens GN=COX5B PE=1 SV=2 - [COX5B_HUMAN]	A	TRUE	0	0.613395097471531	0.721868365180467	0	0	0	0	0	0	0	0	0.21115614746188	0.13651804670913	0.36981277745609	0.343756031654121	0.346265199768385	0.407450299170044	0.329473074696005	0.273885350318471	0.476934954641961	0.298011966801776	0.570353213665316	1
